Read Alphabet -- Benct Philip Jonsson's key mapping proposal					

QS number	QM name	Revised name	Jerome kbd	BPJ 1	BPJ 2
1	Pea	Pipe	p	p	p
2	Bay	Bob	b	b	b
3	Tea	Tut	t	t	t
4	Day	Deed	d	d	d
5	Key	Kick	k	k	k
6	Gay	Gig	g	g	g
7	Thaw	Thoth	T	T	T
8	They	Thither	H	D	D
9	Fee	Fife	f	f	f
10	Vie	Valve	v	v	v
11	See	Sis	s	s	s
12	Zoo	Zoos	z	z	z
13	She	Shush	S	S	S
14	J'ai	Zhivago	Z	Z	J
15	Cheer	Church	c	c	c
16	Jay	Judge	J	J	j
17	Ye	Yo-yo	j	j	y
18	Way	Win-win	w	w	w
19	He	Ha-ha	h	h	h
20	Why	Whitewheat	`	W	W
21	Ing	Inkling	N	G	G
22	May	Mime	m	m	m
23	No	Nun	n	n	n
24	Low	Loll	l	l	l
25	Roe	Roar	r	r	r
26	It	If	i	i	i
27	Eat	Eat	I	I	I
28	Et	Ed	e	e	e
29	Eight	Age	E	E	E
30	At	Ash	A	a	a
31	I	Ice	F	A	Y
32	Ah	Ah	y	q	q
33	Awe	Awl	Y	Q	Q
34	Ox	On	o	o	o
35	Oy	Oil	q	O	q
36	Utter	Ado	a	y	u
37	Out	Out	Q	Y	B
38	Owe	Oak	O	B	O
39	Foot	Wool	U	u	V
40	Ooze	Ooze	M	U	U
41	Loch	Loch	ç	K	K
42	Llan	Llan	æ	L	L
43	Excite	Ax	è	x	x
44	Examine	Exam	é	X	X

Alternate letters					

23		Noon	G	N	N
36		Up	u	V	C

Punctuation					

	naming dot		/	`	`
	left bracket			(	(
	right bracket			)	)


	half-Pea		]	P	P
	half-Tea		[	F	F
	half-Day		B	R	R
	half-Zoo		L	C	Z
	half-Ye		^	^	^
	half-Way		@	M	M
	half-He		\	H	H
	half-Why		~	~	~

Revision:	20.12.2007
			Jerome	BPJ 2	BPJ 2.1
36	Utter	Ado	a	`	u
39	Foot	Wool	U	u	V
36		Up	u	V	C
	naming dot		/	^	`
	half-Ye		^	C	^
