Proposed Keyboard Assignments for the Read Alphabet version 3: 2008/1/9

QS number,QM name,Revised name,Jerome kbd,QS-SAMPA,Peter Guinness,QS-B,QS-Nu,Moira
1,Pea,Pipe,p,p,p,p,p,p
2,Bay,Bob,b,b,b,b,b,b
3,Tea,Tut,t,t,t,t,t,t
4,Day,Deed,d,d,d,d,d,d
5,Key,Kick,k,k,k,k,k,k
6,Gay,Gig,g,g,g,g,g,g
7,Thaw,Thoth,T,T,T,T,T,T
8,They,Thither,H,D,D,D,D,D
9,Fee,Fife,f,f,f,f,f,f
10,Vie,Valve,v,v,v,v,v,v
11,See,Sis,s,s,s,s,s,s
12,Zoo,Zoos,z,z,z,z,z,z
13,She,Shush,S,S,S,S,S,S
14,J'ai,Zhivago,Z,Z,Z,J,J,J
15,Cheer,Church,c,c,C,C,C,C
16,Jay,Judge,J,J,j,j,j,j
17,Ye,Yo-yo,j,j,y,y,y,Y
18,Way,Win-win,w,w,w,w,w,w
19,He,Ha-ha,h,h,h,h,h,h
20,Why,Whitewheat,`,W,P,W,W,W
21,Ing,Inkling,N,N,N,G,G,N
22,May,Mime,m,m,m,m,m,m
23,No,Nun,n,n,n,n,n,n
24,Low,Loll,l,l,l,l,l,l
25,Roe,Roar,r,r,r,r,r,r
26,It,If,i,I,i,i,i,i
27,Eat,Eat,I,i,E,I,I,E
28,Et,Ed,e,E,e,e,e,e
29,Eight,Age,E,e,A,E,E,A
30,At,Ash,A,a,a,a,a,a
31,I,Ice,F,Y,I,Y,Y,I
32,Ah,Ah,y,A,R,A,A,P
33,Awe,Awl,Y,O,Q,Q,q,y
34,Ox,On,o,Q,o,o,o,o
35,Oy,Oil,q,R,Y,q,Q,q
36,Utter,Ado,a,y,u,u,u,u
37,Out,Out,Q,H,W,B,P,Q
38,Owe,Oak,O,o,O,O,O,O
39,Foot,Wool,U,U,V,V,V,V
40,Ooze,Ooze,M,u,U,U,U,U
41,Loch,Loch,ç,x,K,K,K,K
42,Llan,Llan,æ,K,L,L,L,L
43,Excite,Ax,è,X,X,X,X,X
44,Examine,Exam,é,G,x,x,x,x

Alternate letters

23,,Noon,G,q,M,N,N,M
36,,Up,u,V,G,c,c,c

Punctuation

,naming dot,,/,`,`,`,`,`
,left bracket,,,(,(,(,(,(
,right bracket,,,),),),),)

Half letters

1.5,Half Pea,Half Pipe,],,,P,B,B
3.5,Half Tea,Half Tut,[,,,F,F,F
4.5,Half Day,Half Deed,B,,,R,R,R
12.5,Half Zoo,Half Zoos,L,,,Z,Z,Z
17.5,Half Ye,Half Yo-yo,^,,,^,^,G
18.5,Half Way,Half Win-win,@,,,M,M,@
19.5,Half He,Half Ha-ha,\,,,H,H,H
20.5,Half Why,Half Whitewheat,~,,,~,~,~
